WARD,PRECINCT,JOINID,Emanuel_M15,Wilson_M15,Fioretti_M15,Garcia_M15,Walls_M15
10,1,C10001,108,42,3,80,7
10,2,C10002,139,9,57,113,2
10,3,C10003,144,9,38,110,3
10,4,C10004,70,17,9,90,5
10,5,C10005,118,10,34,89,2
10,6,C10006,96,4,29,109,1
10,7,C10007,76,7,8,103,3
10,8,C10008,52,25,1,47,4
10,9,C10009,140,10,54,131,1
10,10,C10010,117,3,34,182,1
10,11,C10011,102,4,24,208,2
10,12,C10012,81,3,20,90,1
10,13,C10013,114,14,11,153,4
10,14,C10014,139,4,26,254,0
10,15,C10015,184,126,24,112,31
10,16,C10016,91,3,29,80,2
10,17,C10017,195,12,61,158,3
10,18,C10018,48,16,1,76,2
10,19,C10019,117,8,41,165,7
10,20,C10020,165,11,23,134,5
10,21,C10021,103,8,24,179,3
10,22,C10022,43,3,6,102,0
10,23,C10023,91,4,16,165,0
10,24,C10024,153,13,54,125,4
10,25,C10025,24,8,4,40,3
10,26,C10026,60,10,8,98,0
10,27,C10027,66,42,7,112,5
10,28,C10028,113,7,26,213,0
10,29,C10029,87,9,19,127,3
10,30,C10030,76,4,11,153,2
10,31,C10031,64,4,11,133,2
10,32,C10032,115,3,20,143,1
10,33,C10033,62,5,21,115,3
10,34,C10034,67,8,4,77,2
10,35,C10035,135,4,56,204,1
10,36,C10036,31,13,2,31,1
11,1,C11001,158,7,49,101,5
11,2,C11002,13,8,3,4,4
11,3,C11003,47,4,10,135,1
11,4,C11004,109,7,40,124,2
11,5,C11005,92,16,35,129,2
11,6,C11006,125,4,30,89,1
11,7,C11007,76,19,19,66,3
11,8,C11008,107,8,35,95,4
11,9,C11009,101,4,50,94,2
11,10,C11010,135,4,48,88,1
11,11,C11011,129,9,48,107,5
11,12,C11012,262,6,114,181,4
11,13,C11013,239,9,81,147,2
11,14,C11014,92,9,33,39,3
11,15,C11015,80,4,14,26,2
11,16,C11016,103,7,39,69,3
11,17,C11017,119,6,47,110,6
11,18,C11018,157,2,40,64,2
11,19,C11019,147,12,39,139,0
11,20,C11020,129,2,39,62,0
11,21,C11021,244,15,64,142,2
11,22,C11022,185,7,67,121,7
11,23,C11023,127,3,25,45,0
11,24,C11024,261,7,87,102,1
11,25,C11025,142,2,35,112,3
11,26,C11026,208,14,51,129,1
11,27,C11027,44,3,12,40,2
11,28,C11028,100,4,22,49,2
11,29,C11029,194,13,61,117,3
11,30,C11030,91,1,13,37,0
11,31,C11031,175,6,49,99,2
11,32,C11032,105,1,52,31,0
11,33,C11033,114,8,22,66,0
11,34,C11034,71,6,16,30,1
11,35,C11035,79,8,18,23,2
11,36,C11036,59,4,24,46,3
11,37,C11037,65,2,7,20,4
11,38,C11038,27,2,2,62,0
12,1,C12001,84,3,19,175,2
12,2,C12002,56,2,8,116,2
12,3,C12003,67,5,20,207,3
12,4,C12004,73,2,10,156,1
12,5,C12005,79,9,23,114,3
12,6,C12006,61,9,11,142,3
12,7,C12007,34,3,2,154,0
12,8,C12008,89,9,12,137,3
12,9,C12009,58,4,13,122,1
12,10,C12010,39,3,4,148,5
12,11,C12011,51,2,9,154,1
12,12,C12012,58,3,11,118,1
12,13,C12013,49,2,13,152,3
12,14,C12014,29,4,1,142,1
12,15,C12015,56,15,6,132,4
12,16,C12016,33,1,0,140,2
12,17,C12017,52,4,10,164,1
12,18,C12018,41,1,10,132,0
12,19,C12019,59,2,9,146,1
12,20,C12020,57,4,9,161,1
12,21,C12021,58,3,16,153,2
12,22,C12022,32,3,4,126,0
12,23,C12023,69,3,21,144,1
13,1,C13001,137,2,24,71,1
13,2,C13002,150,5,31,72,2
13,3,C13003,54,2,6,70,1
13,4,C13004,152,7,43,88,2
13,5,C13005,134,1,14,120,3
13,6,C13006,154,3,39,79,0
13,7,C13007,113,1,6,68,0
13,8,C13008,99,1,28,74,0
13,9,C13009,101,2,13,79,1
13,10,C13010,131,4,36,88,1
13,11,C13011,161,5,28,103,0
13,12,C13012,81,7,8,92,1
13,13,C13013,109,2,17,102,0
13,14,C13014,96,3,18,87,4
13,15,C13015,163,1,23,153,3
13,16,C13016,80,1,8,66,2
13,17,C13017,107,7,32,79,0
13,18,C13018,104,5,23,71,1
13,19,C13019,103,9,3,111,0
13,20,C13020,82,4,29,49,1
13,21,C13021,168,7,65,74,4
13,22,C13022,146,5,41,70,2
13,23,C13023,79,3,12,69,2
13,24,C13024,112,11,15,69,3
13,25,C13025,130,0,21,86,2
13,26,C13026,170,5,18,69,1
13,27,C13027,116,7,22,66,3
13,28,C13028,71,3,16,89,2
13,29,C13029,78,2,12,92,0
13,30,C13030,79,0,8,69,0
13,31,C13031,130,5,46,88,2
13,32,C13032,140,4,30,75,0
13,33,C13033,117,7,30,80,1
13,34,C13034,142,4,18,112,0
